Accession	1000 terminals	500 terminals	250 terminals	125 terminals	75 terminals
GB_GCA_003023215.1	YES	YES	YES	NO	NO
GB_GCA_003034855.1	YES	YES	NO	NO	NO
GB_GCA_003056265.1	YES	NO	NO	NO	NO
GB_GCA_003056285.1	YES	YES	YES	YES	YES
GB_GCA_003104905.1	YES	NO	NO	NO	NO
GB_GCA_003141075.1	YES	NO	NO	NO	NO
GB_GCA_003151735.1	YES	NO	NO	NO	NO
GB_GCA_003159405.1	YES	YES	NO	NO	NO
GB_GCA_003164755.1	YES	NO	NO	NO	NO
GB_GCA_003164815.1	YES	YES	YES	NO	NO
GB_GCA_003170075.1	YES	YES	NO	NO	NO
GB_GCA_003194445.1	YES	NO	NO	NO	NO
GB_GCA_003266085.1	YES	YES	YES	NO	NO
GB_GCA_003266145.1	YES	NO	NO	NO	NO
GB_GCA_003315655.1	YES	NO	NO	NO	NO
GB_GCA_003315675.1	YES	NO	NO	NO	NO
GB_GCA_003331425.1	YES	YES	YES	YES	YES
GB_GCA_003352245.1	YES	YES	NO	NO	NO
GB_GCA_003352265.1	YES	YES	YES	YES	YES
GB_GCA_003352285.1	YES	NO	NO	NO	NO
GB_GCA_003491285.1	YES	YES	NO	NO	NO
GB_GCA_003491305.1	YES	NO	NO	NO	NO
GB_GCA_003554885.1	YES	YES	NO	NO	NO
GB_GCA_003555005.1	YES	NO	NO	NO	NO
GB_GCA_003558085.1	YES	YES	NO	NO	NO
GB_GCA_003559435.1	YES	YES	YES	YES	YES
GB_GCA_003565715.1	YES	NO	NO	NO	NO
GB_GCA_003584605.1	YES	YES	NO	NO	NO
GB_GCA_003584625.1	YES	NO	NO	NO	NO
GB_GCA_003600755.1	YES	YES	NO	NO	NO
GB_GCA_003601555.1	YES	NO	NO	NO	NO
GB_GCA_003649205.1	YES	NO	NO	NO	NO
GB_GCA_003650075.1	YES	NO	NO	NO	NO
GB_GCA_003650925.1	YES	NO	NO	NO	NO
GB_GCA_003660555.1	YES	YES	YES	NO	NO
GB_GCA_003838065.1	YES	NO	NO	NO	NO
GB_GCA_003838185.1	YES	YES	YES	YES	YES
GB_GCA_003935005.1	YES	YES	NO	NO	NO
GB_GCA_003940385.1	YES	YES	NO	NO	NO
GB_GCA_004028775.1	YES	YES	NO	NO	NO
GB_GCA_004211975.1	YES	NO	NO	NO	NO
GB_GCA_004212035.1	YES	NO	NO	NO	NO
GB_GCA_004212075.1	YES	YES	NO	NO	NO
GB_GCA_004212085.1	YES	NO	NO	NO	NO
GB_GCA_004332335.1	YES	YES	YES	YES	NO
GB_GCA_004347825.1	YES	YES	NO	NO	NO
GB_GCA_004366975.1	YES	NO	NO	NO	NO
GB_GCA_004366995.1	YES	YES	NO	NO	NO
GB_GCA_004367345.1	YES	YES	YES	YES	NO
GB_GCA_004376295.1	YES	YES	YES	NO	NO
GB_GCA_004376645.1	YES	NO	NO	NO	NO
GB_GCA_004376975.1	YES	NO	NO	NO	NO
GB_GCA_004553595.1	YES	NO	NO	NO	NO
GB_GCA_005222525.1	YES	YES	YES	NO	NO
GB_GCA_005877205.1	YES	NO	NO	NO	NO
GB_GCA_005877385.1	YES	YES	YES	YES	YES
GB_GCA_005888745.1	YES	NO	NO	NO	NO
GB_GCA_005888755.1	YES	YES	YES	YES	YES
GB_GCA_006546655.1	YES	YES	YES	YES	NO
GB_GCA_007118075.1	YES	NO	NO	NO	NO
GB_GCA_013329165.1	YES	NO	NO	NO	NO
GB_GCA_013329655.1	YES	NO	NO	NO	NO
GB_GCA_013329705.1	YES	NO	NO	NO	NO
GB_GCA_013329775.1	YES	NO	NO	NO	NO
GB_GCA_013329795.1	YES	NO	NO	NO	NO
GB_GCA_013329805.1	YES	NO	NO	NO	NO
GB_GCA_013330395.1	YES	NO	NO	NO	NO
GB_GCA_013330535.1	YES	NO	NO	NO	NO
GB_GCA_900025055.1	YES	YES	NO	NO	NO
GB_GCA_900065925.1	YES	NO	NO	NO	NO
GB_GCA_900100715.1	YES	YES	YES	NO	NO
GB_GCA_900177045.1	YES	YES	YES	NO	NO
GB_GCA_900248165.1	YES	YES	NO	NO	NO
GB_GCA_900314605.1	YES	NO	NO	NO	NO
GB_GCA_900314635.1	YES	YES	YES	NO	NO
GB_GCA_900315215.1	YES	NO	NO	NO	NO
GB_GCA_900315655.1	YES	YES	YES	NO	NO
RS_GCF_000006175.1	YES	NO	NO	NO	NO
RS_GCF_000006805.1	YES	YES	NO	NO	NO
RS_GCF_000007005.1	YES	NO	NO	NO	NO
RS_GCF_000007065.1	YES	YES	YES	NO	NO
RS_GCF_000007225.1	YES	YES	YES	NO	NO
RS_GCF_000007305.1	YES	NO	NO	NO	NO
RS_GCF_000008665.1	YES	YES	YES	YES	YES
RS_GCF_000009185.1	YES	YES	NO	NO	NO
RS_GCF_000009965.1	YES	YES	YES	YES	NO
RS_GCF_000011005.1	YES	YES	NO	NO	NO
RS_GCF_000011085.1	YES	NO	NO	NO	NO
RS_GCF_000011105.1	YES	NO	NO	NO	NO
RS_GCF_000011205.1	YES	NO	NO	NO	NO
RS_GCF_000011585.1	YES	NO	NO	NO	NO
RS_GCF_000012285.1	YES	YES	YES	NO	NO
RS_GCF_000012545.1	YES	YES	YES	YES	NO
RS_GCF_000013445.1	YES	YES	YES	NO	NO
RS_GCF_000013725.1	YES	NO	NO	NO	NO
RS_GCF_000015145.1	YES	YES	NO	NO	NO
RS_GCF_000015205.1	YES	NO	NO	NO	NO
RS_GCF_000015225.1	YES	NO	NO	NO	NO
RS_GCF_000015765.1	YES	NO	NO	NO	NO
RS_GCF_000015825.1	YES	YES	YES	NO	NO
RS_GCF_000015945.1	YES	NO	NO	NO	NO
RS_GCF_000016125.1	YES	NO	NO	NO	NO
RS_GCF_000016385.1	YES	NO	NO	NO	NO
RS_GCF_000016525.1	YES	NO	NO	NO	NO
RS_GCF_000016605.1	YES	NO	NO	NO	NO
RS_GCF_000017165.1	YES	YES	NO	NO	NO
RS_GCF_000017185.1	YES	YES	YES	YES	YES
RS_GCF_000017225.1	YES	YES	NO	NO	NO
RS_GCF_000017625.1	YES	YES	NO	NO	NO
RS_GCF_000017945.1	YES	YES	YES	NO	NO
RS_GCF_000018365.1	YES	YES	NO	NO	NO
RS_GCF_000018485.1	YES	YES	NO	NO	NO
RS_GCF_000020905.1	YES	YES	YES	YES	NO
RS_GCF_000021965.1	YES	YES	NO	NO	NO
RS_GCF_000022205.1	YES	YES	YES	YES	YES
RS_GCF_000022365.1	YES	YES	NO	NO	NO
RS_GCF_000022385.1	YES	NO	NO	NO	NO
RS_GCF_000022405.1	YES	YES	NO	NO	NO
RS_GCF_000022425.1	YES	NO	NO	NO	NO
RS_GCF_000022465.1	YES	NO	NO	NO	NO
RS_GCF_000022485.1	YES	NO	NO	NO	NO
RS_GCF_000022545.1	YES	NO	NO	NO	NO
RS_GCF_000023945.1	YES	NO	NO	NO	NO
RS_GCF_000023965.1	YES	NO	NO	NO	NO
RS_GCF_000023985.1	YES	YES	NO	NO	NO
RS_GCF_000024185.1	YES	YES	YES	NO	NO
RS_GCF_000024305.1	YES	YES	YES	NO	NO
RS_GCF_000024625.1	YES	YES	YES	YES	YES
RS_GCF_000024745.1	YES	YES	YES	NO	NO
RS_GCF_000025285.1	YES	YES	YES	YES	NO
RS_GCF_000025325.1	YES	YES	NO	NO	NO
RS_GCF_000025505.1	YES	YES	NO	NO	NO
RS_GCF_000025525.1	YES	YES	YES	NO	NO
RS_GCF_000025625.1	YES	YES	YES	YES	YES
RS_GCF_000025685.1	YES	YES	NO	NO	NO
RS_GCF_000025865.1	YES	NO	NO	NO	NO
RS_GCF_000026045.1	YES	NO	NO	NO	NO
RS_GCF_000063445.1	YES	YES	NO	NO	NO
RS_GCF_000069025.1	YES	NO	NO	NO	NO
RS_GCF_000091665.1	YES	NO	NO	NO	NO
RS_GCF_000092465.1	YES	YES	NO	NO	NO
